"SEX","GEO","UNIT","ICD10","AGE","RESID","TIME","Value","Flag and Footnotes"
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2011","1,510",""
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1,514",""
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2013","1,395",""
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,367",""
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1,351",""
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,395",""
"Males","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2011","606",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2012","672",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2013","577",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2014","557",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2015","523",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2016","507",""
"Males","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2017","533",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","1,366",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1,410",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","1,321",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,225",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1,161",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,089",""
"Males","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","1,133",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2011","441",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2012","493",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2013","455",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2014","488",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2015","402",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2016","436",""
"Males","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2011","7,662",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2012","7,336",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2013","7,513",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2014","7,685",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2015","7,470",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2016","7,436",""
"Males","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2017","7,039",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","178",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","192",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","171",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","193",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","166",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","148",""
"Males","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","173",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2011","458",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2012","446",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2013","391",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2014","399",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2015","335",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2016","350",""
"Males","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2017","310",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2011","393",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2012","417",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2013","425",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2014","450",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2015","422",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2016","404",""
"Males","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2017","420",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2011","2,435",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2012","2,724",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2013","2,913",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2014","2,938",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2015","2,681",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2016","2,662",""
"Males","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2017","2,718",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2011","7,924",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2012","7,511",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2013","7,406",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2014","6,828",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2015","7,014",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2016","6,588",""
"Males","France","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2011","7,784",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2012","7,378",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2013","7,257",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2014","6,695",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2015","6,880",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2016","6,465",""
"Males","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","528",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","599",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","550",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","538",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","548",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","522",""
"Males","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","478",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2011","3,293",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2012","3,325",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2013","3,323",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2014","3,215",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2015","3,105",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2016","3,039",""
"Males","Italy","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2011","26",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2012","35",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2013","40",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2014","30",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2015","31",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2016","31",""
"Males","Cyprus","Number","Intentional self-harm","Total","All deaths reported in the country","2017","32",""
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","366",""
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","372",""
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","323",""
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","313",""
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","307",""
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","287",""
