DATAFLOW,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2006,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2007,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2008,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2014,1.5,
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2015,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2016,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AL,2017,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2006,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2007,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2008,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2009,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2010,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2011,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2015,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,AM,2016,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2006,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2007,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2008,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2009,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2010,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2011,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2012,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2013,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2014,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2015,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2016,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,AT,2017,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,AZ,2006,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AZ,2007,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,AZ,2008,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,AZ,2009,0.9,
