freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;GDIVRT;AL,1.3 ,1.0 ,1.1 ,: ,: ,: ,: ,: ,1.5 ,1.3 ,1.9 ,1.6 
A;GDIVRT;AM,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,: ,: ,: ,1.2 ,1.2 ,: 
A;GDIVRT;AT,2.5 ,2.5 ,2.4 ,2.3 ,2.1 ,2.1 ,2.0 ,1.9 ,1.9 ,1.9 ,1.8 ,1.8 
A;GDIVRT;AZ,0.9 ,1.0 ,0.9 ,0.9 ,1.0 ,1.2 ,1.2 ,1.2 ,1.3 ,1.3 ,1.3 ,1.5 
A;GDIVRT;BA,0.4 ,0.5 ,0.4 ,0.4 ,0.4 ,: ,0.6 ,: ,: ,: ,: ,: 
A;GDIVRT;BE,2.8 ,2.8 ,3.3 ,3.0 ,2.7 ,2.5 ,2.3 ,2.2 ,2.2 ,2.2 ,2.1 ,2.0 
A;GDIVRT;BG,2.0 ,2.2 ,1.9 ,1.6 ,1.5 ,1.4 ,1.6 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 
A;GDIVRT;BY,3.3 ,3.7 ,3.8 ,3.7 ,3.9 ,4.1 ,4.1 ,3.8 ,3.7 ,3.5 ,3.4 ,3.4 
A;GDIVRT;CH,2.8 ,2.6 ,2.6 ,2.5 ,2.8 ,2.2 b,2.2 ,2.1 ,2.0 ,2.1 ,2.0 ,1.9 
A;GDIVRT;CY,2.3 ,2.1 ,2.1 ,2.2 ,2.3 ,2.3 ,2.4 ,2.2 ,2.2 ,2.1 ,2.3 ,2.2 
A;GDIVRT;CZ,3.1 ,3.0 ,3.0 ,2.8 ,2.9 ,2.7 ,2.5 ,2.7 ,2.5 ,2.5 ,2.4 ,2.4 
A;GDIVRT;DE,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.2 ,2.1 ,2.1 ,2.0 ,2.0 ,1.9 
A;GDIVRT;DK,2.6 ,2.6 ,2.7 ,2.7 ,2.6 ,2.6 ,2.8 ,3.4 ,3.4 ,2.9 ,3.0 ,2.6 
A;GDIVRT;EA18,2.1 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9 ,1.9 ,1.8 ,: ,: ,: ,: 
A;GDIVRT;EA19,: ,: ,: ,: ,: ,: ,: ,1.8 ,: ,: ,: ,: 
A;GDIVRT;EE,2.8 ,2.8 ,2.6 ,2.4 ,2.2 ,2.3 ,2.4 ,2.5 ,2.4 ,2.6 ,2.5 ,2.5 
