freq,unit,age,icd10,sex,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 
A,RT,TOTAL,X60-X84_Y870,T,AT	15.54 	15.2 	15.35 	15.26 	14.48 	13.69 
A,RT,TOTAL,X60-X84_Y870,T,BE	19.25 	18.76 	17.27 	17.28 	16.85 	17.11 
A,RT,TOTAL,X60-X84_Y870,T,BG	10.4 	12.11 	9.78 	9.91 	9.33 	9.24 
A,RT,TOTAL,X60-X84_Y870,T,CH	13.23 	13.2 	13.34 	12.77 	12.96 	12.19 
A,RT,TOTAL,X60-X84_Y870,T,CY	3.97 	3.82 	5.19 	4.5 	4.45 	3.89 
A,RT,TOTAL,X60-X84_Y870,T,CZ	15.2 	15.97 	15.18 	14.36 	13.24 	12.57 
A,RT,TOTAL,X60-X84_Y870,T,DE	11.9 d	11.52 d	11.79 	11.94 	11.67 	11.29 
A,RT,TOTAL,X60-X84_Y870,T,DK	11.11 	12.22 	11.28 	11.91 	10.21 	10.19 
A,RT,TOTAL,X60-X84_Y870,T,EE	16.31 	18.4 	16.96 	18.31 	15.89 	14.31 
A,RT,TOTAL,X60-X84_Y870,T,EL	4.2 	4.41 	4.76 	4.99 	4.69 	4.29 
A,RT,TOTAL,X60-X84_Y870,T,ES	6.74 	7.43 	8.14 	8.17 	7.51 	7.41 
A,RT,TOTAL,X60-X84_Y870,T,FI	16.91 	16.14 	16.36 	14.55 	13.46 	14.26 
A,RT,TOTAL,X60-X84_Y870,T,FR	16.86 	15.75 	15.47 	14.13 	14.14 	13.21 
A,RT,TOTAL,X60-X84_Y870,T,HR	16.57 	18.23 d	16.18 	16.84 	17.32 	16 
A,RT,TOTAL,X60-X84_Y870,T,HU	24.64 d	24.11 d	21.22 	19.42 	19.03 	17.98 
A,RT,TOTAL,X60-X84_Y870,T,IE	12.09 	12.12 	11.07 	10.79 	9.47 	9.37 
A,RT,TOTAL,X60-X84_Y870,T,IS	8.85 	11.61 	17.1 	13.98 	13.06 	12.39 
A,RT,TOTAL,X60-X84_Y870,T,IT	6.51 	6.68 	6.64 	6.32 	6.07 	5.85 
A,RT,TOTAL,X60-X84_Y870,T,LI	13.34 	9.64 	7.48 	10.22 	2.49 	15.59 
A,RT,TOTAL,X60-X84_Y870,T,LT	33.38 	30.69 	36.12 	31.51 	30.28 	28.27 
A,RT,TOTAL,X60-X84_Y870,T,LU	11.48 	10.69 	9.29 	13.36 	13.91 	9.38 
A,RT,TOTAL,X60-X84_Y870,T,LV	21.23 	21.82 	19.05 	18.96 	19.34 	18.56 
A,RT,TOTAL,X60-X84_Y870,T,MT	4.49 	6.4 	5.05 	8.26 	7.64 	5.33 
A,RT,TOTAL,X60-X84_Y870,T,NL	10.01 	10.66 	11.32 	11.12 	11.28 	11.28 
A,RT,TOTAL,X60-X84_Y870,T,NO	12.49 	10.62 	11.25 	10.97 	11.71 	12.08 
A,RT,TOTAL,X60-X84_Y870,T,PL	16.04 	16.71 	16.35 	15.51 	14.24 	12.28 
A,RT,TOTAL,X60-X84_Y870,T,PT	9.51 	9.98 	9.78 	11.28 	10.38 	8.95 
A,RT,TOTAL,X60-X84_Y870,T,RO	13 	12.67 	12.23 	11.33 	11.43 	10.13 
A,RT,TOTAL,X60-X84_Y870,T,RS	17.95 	17.28 	16.81 	15.88 	15.03 	13.52 
A,RT,TOTAL,X60-X84_Y870,T,SE	11.99 	12.39 	13.03 	12.12 	12.33 	11.73 
A,RT,TOTAL,X60-X84_Y870,T,SI	21.71 	21.53 	21.7 	18.87 	20.72 	18.09 
A,RT,TOTAL,X60-X84_Y870,T,SK	10.6 	11.12 	12.07 	10.76 	9.19 	7.48 
A,RT,TOTAL,X60-X84_Y870,T,TR	1.78 d	2.19 d	2.82 d	2.4 d	2.18 d	2.64 d
A,RT,TOTAL,X60-X84_Y870,T,UK	6.71 d	7.22 d	7.36 	7.08 	7.35 	7.23 
