"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value","Flag and Footnotes"
"2009","Belgium","Total","Total","Employed persons","Total - all NACE activities","Hour","36.8",""
"2009","Bulgaria","Total","Total","Employed persons","Total - all NACE activities","Hour","41.4",""
"2009","Czechia","Total","Total","Employed persons","Total - all NACE activities","Hour","41.5",""
"2009","Denmark","Total","Total","Employed persons","Total - all NACE activities","Hour","33.9",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.7",""
"2009","Estonia","Total","Total","Employed persons","Total - all NACE activities","Hour","38.7",""
"2009","Ireland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.2",""
"2009","Greece","Total","Total","Employed persons","Total - all NACE activities","Hour","42.4","b"
"2009","Spain","Total","Total","Employed persons","Total - all NACE activities","Hour","38.8",""
"2009","France","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0",""
"2009","Croatia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.4",""
"2009","Italy","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0",""
"2009","Cyprus","Total","Total","Employed persons","Total - all NACE activities","Hour","40.3","b"
"2009","Latvia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.4",""
"2009","Lithuania","Total","Total","Employed persons","Total - all NACE activities","Hour","38.6",""
"2009","Luxembourg","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2","b"
"2009","Hungary","Total","Total","Employed persons","Total - all NACE activities","Hour","39.8",""
"2009","Malta","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9",""
"2009","Netherlands","Total","Total","Employed persons","Total - all NACE activities","Hour","30.9",""
"2009","Austria","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0",""
"2009","Poland","Total","Total","Employed persons","Total - all NACE activities","Hour","40.7",""
"2009","Portugal","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9",""
"2009","Romania","Total","Total","Employed persons","Total - all NACE activities","Hour","40.4",""
"2009","Slovenia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.8",""
"2009","Slovakia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.8",""
"2009","Finland","Total","Total","Employed persons","Total - all NACE activities","Hour","37.3",""
"2009","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.3",""
"2009","United Kingdom","Total","Total","Employed persons","Total - all NACE activities","Hour","36.6",""
"2009","Iceland","Total","Total","Employed persons","Total - all NACE activities","Hour","39.1",""
"2009","Norway","Total","Total","Employed persons","Total - all NACE activities","Hour","33.6",""
"2009","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","34.6",""
"2009","Montenegro","Total","Total","Employed persons","Total - all NACE activities","Hour",":",""
"2009","North Macedonia","Total","Total","Employed persons","Total - all NACE activities","Hour","43.7",""
"2009","Serbia","Total","Total","Employed persons","Total - all NACE activities","Hour",":",""
"2009","Turkey","Total","Total","Employed persons","Total - all NACE activities","Hour","49.4",""
"2010","Belgium","Total","Total","Employed persons","Total - all NACE activities","Hour","36.9",""
"2010","Bulgaria","Total","Total","Employed persons","Total - all NACE activities","Hour","41.2","b"
"2010","Czechia","Total","Total","Employed persons","Total - all NACE activities","Hour","41.2",""
"2010","Denmark","Total","Total","Employed persons","Total - all NACE activities","Hour","33.9",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.7","b"
"2010","Estonia","Total","Total","Employed persons","Total - all NACE activities","Hour","38.7",""
"2010","Ireland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.0",""
"2010","Greece","Total","Total","Employed persons","Total - all NACE activities","Hour","42.2",""
"2010","Spain","Total","Total","Employed persons","Total - all NACE activities","Hour","38.7",""
"2010","France","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0",""
"2010","Croatia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.2",""
"2010","Italy","Total","Total","Employed persons","Total - all NACE activities","Hour","37.8",""
"2010","Cyprus","Total","Total","Employed persons","Total - all NACE activities","Hour","40.1",""
"2010","Latvia","Total","Total","Employed persons","Total - all NACE activities","Hour","38.8",""
"2010","Lithuania","Total","Total","Employed persons","Total - all NACE activities","Hour","38.4",""
"2010","Luxembourg","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2",""
"2010","Hungary","Total","Total","Employed persons","Total - all NACE activities","Hour","39.7",""
"2010","Malta","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9",""
"2010","Netherlands","Total","Total","Employed persons","Total - all NACE activities","Hour","30.7",""
"2010","Austria","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7",""
"2010","Poland","Total","Total","Employed persons","Total - all NACE activities","Hour","40.6","b"
"2010","Portugal","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9",""
"2010","Romania","Total","Total","Employed persons","Total - all NACE activities","Hour","40.2","b"
"2010","Slovenia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.4",""
"2010","Slovakia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.6",""
"2010","Finland","Total","Total","Employed persons","Total - all NACE activities","Hour","37.3",""
"2010","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.3",""
"2010","United Kingdom","Total","Total","Employed persons","Total - all NACE activities","Hour","36.4",""
"2010","Iceland","Total","Total","Employed persons","Total - all NACE activities","Hour","38.8",""
"2010","Norway","Total","Total","Employed persons","Total - all NACE activities","Hour","33.6",""
"2010","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.2","b"
"2010","Montenegro","Total","Total","Employed persons","Total - all NACE activities","Hour",":",""
"2010","North Macedonia","Total","Total","Employed persons","Total - all NACE activities","Hour","43.2",""
"2010","Serbia","Total","Total","Employed persons","Total - all NACE activities","Hour","42.7",""
